title,Distributor,Genre,release_date,budget,Domestic Sales (in $),International Sales (in $),Domestic Sales (as % of total Revenue),International Sales (as % of total Revenue),Revenue,Profit/Loss,vote_average
Sex and the City 2,Warner Bros.,"Comedy, Drama, Romance",2010-05-26,100000000.0,95347692,195397363,32.79%,67.21%,290745055,190745055.0,5.4
The Princess Diaries 2: Royal Engagement,Walt Disney Studios Motion Pictures,"Comedy, Family, Romance",2004-08-06,40000000.0,95170481,39564000,70.64%,29.36%,134734481,94734481.0,6.0
42,Warner Bros.,"Biography, Drama, Sport",2013-04-12,40000000.0,95020213,2450488,97.49%,2.51%,97470701,57470701.0,6.8
Unbreakable,Walt Disney Studios Motion Pictures,"Drama, Mystery, Sci-Fi, Thriller",2000-11-13,75000000.0,95011339,153106782,38.29%,61.71%,248118121,173118121.0,6.9
The Book of Eli,Warner Bros.,"Action, Adventure, Drama, Thriller",2010-01-14,80000000.0,94835059,62272696,60.36%,39.64%,157107755,77107755.0,6.6
Beverly Hills Chihuahua,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Drama, Family, Romance",2008-10-03,20000000.0,94514402,54778086,63.31%,36.69%,149292488,129292488.0,4.9
Julie & Julia,Sony Pictures Entertainment (SPE),"Biography, Drama, Romance",2009-08-06,40000000.0,94125426,35415096,72.66%,27.34%,129540522,89540522.0,6.6
The Mask of Zorro,Sony Pictures Entertainment (SPE),"Action, Adventure, Comedy, Romance, Thriller, Western",1998-07-16,95000000.0,94095523,156193000,37.59%,62.41%,250288523,155288523.0,6.3
Maid in Manhattan,Revolution Studios,"Comedy, Drama, Romance",2002-12-13,55000000.0,94011225,60895468,60.69%,39.31%,154906693,99906693.0,5.6
He's Just Not That Into You,Warner Bros.,"Comedy, Drama, Romance",2009-02-06,40000000.0,93953653,84912505,52.53%,47.47%,178866158,138866158.0,6.2
Master and Commander: The Far Side of the World,Twentieth Century Fox,"Action, Adventure, Drama, War",2003-11-14,150000000.0,93927920,117694615,44.38%,55.62%,211622535,61622535.0,6.9
Flight,Paramount Pictures,"Drama, Thriller",2012-11-02,31000000.0,93772375,68000000,57.97%,42.03%,161772375,130772375.0,6.5
The Fighter,Paramount Pictures,"Action, Biography, Drama, Sport",2010-12-17,25000000.0,93617009,35573860,72.46%,27.54%,129190869,104190869.0,7.2
America's Sweethearts,Revolution Studios,"Comedy, Romance",2001-07-17,46000000.0,93607673,44700000,67.68%,32.32%,138307673,92307673.0,5.5
The Bucket List,Warner Bros.,"Adventure, Comedy, Drama",2007-12-25,45000000.0,93466502,81906000,53.30%,46.70%,175372502,130372502.0,7.0
Tomorrowland,Walt Disney Studios Motion Pictures,"Action, Adventure, Family, Fantasy, Mystery, Sci-Fi",2015-05-19,190000000.0,93436322,115599346,44.70%,55.30%,209035668,19035668.0,6.2
Cats & Dogs,Warner Bros.,"Action, Comedy, Family, Fantasy",2001-07-04,60000000.0,93385515,107301977,46.53%,53.47%,200687492,140687492.0,5.0
Two Weeks Notice,Warner Bros.,"Comedy, Romance",2002-12-19,60000000.0,93354851,105688620,46.90%,53.10%,199043471,139043471.0,5.9
Red Dragon,Universal Pictures,"Crime, Drama, Thriller",2002-09-29,78000000.0,93149898,116046400,44.53%,55.47%,209196298,131196298.0,6.7
Elysium,TriStar Pictures,"Action, Drama, Sci-Fi",2013-08-07,115000000.0,93050117,193090583,32.52%,67.48%,286140700,171140700.0,6.4
Flubber,Walt Disney Studios Motion Pictures,"Comedy, Family, Sci-Fi",1997-11-26,80000000.0,92977226,85000000,52.24%,47.76%,177977226,97977226.0,5.3
The Town,Warner Bros.,"Crime, Drama, Thriller",2010-09-15,37000000.0,92186262,61839874,59.85%,40.15%,154026136,117026136.0,7.0
