title,Distributor,Genre,release_date,budget,Domestic Sales (in $),International Sales (in $),Domestic Sales (as % of total Revenue),International Sales (as % of total Revenue),Revenue,Profit/Loss,vote_average
Avatar,Twentieth Century Fox,"Action, Adventure, Fantasy, Sci-Fi",2009-12-10,237000000.0,760507625,2086738578,26.71%,73.29%,2847246203,2610246203.0,7.2
Titanic,Paramount Pictures,"Drama, Romance",1997-11-18,200000000.0,659363944,1542283320,29.95%,70.05%,2201647264,2001647264.0,7.5
Jurassic World,Universal Pictures,"Action, Adventure, Sci-Fi",2015-06-09,150000000.0,652385625,1018130819,39.05%,60.95%,1670516444,1520516444.0,6.5
The Avengers,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi",2012-04-25,220000000.0,623357910,895457605,41.04%,58.96%,1518815515,1298815515.0,7.4
The Lion King,Walt Disney Studios Motion Pictures,"Adventure, Animation, Drama, Family, Musical",1994-06-23,45000000.0,543638043,1119261396,32.69%,67.31%,1662899439,1617899439.0,8.0
The Dark Knight,Warner Bros.,"Action, Crime, Drama, Thriller",2008-07-16,185000000.0,534858444,471115201,53.17%,46.83%,1005973645,820973645.0,8.2
Star Wars: Episode I - The Phantom Menace,Twentieth Century Fox,"Action, Adventure, Fantasy, Sci-Fi",1999-05-19,115000000.0,474544677,552538030,46.20%,53.80%,1027082707,912082707.0,6.3
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi",2015-04-22,280000000.0,459005868,943803672,32.72%,67.28%,1402809540,1122809540.0,7.3
The Dark Knight Rises,Warner Bros.,"Action, Crime, Drama",2012-07-16,250000000.0,448139099,633003513,41.45%,58.55%,1081142612,831142612.0,7.6
Shrek 2,DreamWorks Distribution,"Adventure, Animation, Comedy, Family, Fantasy, Romance",2004-05-19,150000000.0,441226247,487534523,47.51%,52.49%,928760770,778760770.0,6.7
E.T. the Extra-Terrestrial,Universal Pictures,"Adventure, Family, Sci-Fi",1982-04-03,10500000.0,435110554,304203888,58.85%,41.15%,739314442,728814442.0,7.3
The Hunger Games: Catching Fire,Lionsgate,"Action, Adventure, Drama, Sci-Fi, Thriller",2013-11-15,130000000.0,424668047,440343699,49.09%,50.91%,865011746,735011746.0,7.4
Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios Motion Pictures,"Action, Adventure, Fantasy",2006-06-20,200000000.0,423315812,642863935,39.70%,60.30%,1066179747,866179747.0,7.0
The Lion King,Walt Disney Studios Motion Pictures,"Adventure, Animation, Drama, Family, Musical",1994-06-23,45000000.0,422783777,640828028,39.75%,60.25%,1063611805,1018611805.0,8.0
Toy Story 3,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",2010-06-16,200000000.0,415004880,651965931,38.90%,61.10%,1066970811,866970811.0,7.6
Iron Man 3,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi",2013-04-18,200000000.0,409013994,805797258,33.67%,66.33%,1214811252,1014811252.0,6.8
Captain America: Civil War,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi",2016-04-27,250000000.0,408084349,745253147,35.38%,64.62%,1153337496,903337496.0,7.1
The Hunger Games,Lionsgate,"Action, Adventure, Sci-Fi, Thriller",2012-03-12,75000000.0,408010692,286384032,58.76%,41.24%,694394724,619394724.0,6.9
Spider-Man,Sony Pictures Entertainment (SPE),"Action, Adventure, Sci-Fi",2002-05-01,139000000.0,407022860,418002176,49.33%,50.67%,825025036,686025036.0,6.8
Jurassic Park,Universal Pictures,"Action, Adventure, Sci-Fi, Thriller",1993-06-11,63000000.0,404214720,629713583,39.10%,60.90%,1033928303,970928303.0,7.6
Transformers: Revenge of the Fallen,DreamWorks,"Action, Adventure, Sci-Fi",2009-06-19,150000000.0,402111870,434191823,48.08%,51.92%,836303693,686303693.0,6.0
Frozen,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical",2013-11-27,150000000.0,400953009,880555091,31.29%,68.71%,1281508100,1131508100.0,7.3
Finding Nemo,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family",2003-05-30,94000000.0,380843261,559509384,40.50%,59.50%,940352645,846352645.0,7.6
Star Wars: Episode III - Revenge of the Sith,Twentieth Century Fox,"Action, Adventure, Fantasy, Sci-Fi",2005-05-17,113000000.0,380270577,488119983,43.79%,56.21%,868390560,755390560.0,7.1
The Lord of the Rings: The Return of the King,New Line Cinema,"Action, Adventure, Drama, Fantasy",2003-12-01,94000000.0,377845905,768185007,32.97%,67.03%,1146030912,1052030912.0,8.1
Spider-Man 2,Sony Pictures Entertainment (SPE),"Action, Adventure, Sci-Fi",2004-06-25,200000000.0,373585825,415390628,47.35%,52.65%,788976453,588976453.0,6.7
The Passion of the Christ,Newmarket Films,Drama,2004-02-25,30000000.0,370782930,241271576,60.58%,39.42%,612054506,582054506.0,6.9
The Secret Life of Pets,Universal Pictures,"Adventure, Animation, Comedy, Family",2016-06-18,75000000.0,368384330,507074301,42.08%,57.92%,875458631,800458631.0,5.9
Despicable Me 2,Universal Pictures,"Adventure, Animation, Comedy, Crime, Family, Sci-Fi",2013-06-25,76000000.0,368065385,602700620,37.91%,62.09%,970766005,894766005.0,7.0
The Jungle Book,Walt Disney Studios Motion Pictures,"Adventure, Drama, Family, Fantasy",2016-04-07,175000000.0,364001123,602553806,37.66%,62.34%,966554929,791554929.0,6.7
Deadpool,Twentieth Century Fox,"Action, Adventure, Comedy, Sci-Fi",2016-02-09,58000000.0,363070709,419766082,46.38%,53.62%,782836791,724836791.0,7.4
Inside Out,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Drama, Family, Fantasy, Sci-Fi",2015-06-09,175000000.0,356921711,501926308,41.56%,58.44%,858848019,683848019.0,8.0
Aladdin,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Family, Fantasy, Musical, Romance",1992-11-25,28000000.0,355559216,695134737,33.84%,66.16%,1050693953,1022693953.0,7.4
Furious 7,Universal Pictures,"Action, Thriller",2015-04-01,190000000.0,353007020,1162334379,23.30%,76.70%,1515341399,1325341399.0,7.3
Transformers: Dark of the Moon,DreamWorks,"Action, Adventure, Sci-Fi",2011-06-28,195000000.0,352390543,771403536,31.36%,68.64%,1123794079,928794079.0,6.1
American Sniper,Warner Bros.,"Action, Biography, Drama, War",2014-12-11,58800000.0,350126372,197300000,63.96%,36.04%,547426372,488626372.0,7.4
The Lord of the Rings: The Two Towers,New Line Cinema,"Action, Adventure, Drama, Fantasy",2002-12-18,79000000.0,342551365,604943730,36.15%,63.85%,947495095,868495095.0,8.0
The Hunger Games: Mockingjay - Part 1,Lionsgate,"Action, Adventure, Sci-Fi, Thriller",2014-11-18,125000000.0,337135885,418220826,44.63%,55.37%,755356711,630356711.0,6.6
Spider-Man 3,Sony Pictures Entertainment (SPE),"Action, Adventure, Sci-Fi",2007-05-01,258000000.0,336530303,558453070,37.60%,62.40%,894983373,636983373.0,5.9
Minions,Universal Pictures,"Adventure, Animation, Comedy, Crime, Family, Sci-Fi",2015-06-17,74000000.0,336045770,823398892,28.98%,71.02%,1159444662,1085444662.0,6.4
Alice in Wonderland,Walt Disney Studios Motion Pictures,"Adventure, Family, Fantasy, Mystery",2010-03-03,200000000.0,334191110,691277106,32.59%,67.41%,1025468216,825468216.0,6.4
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,"Action, Adventure, Comedy, Sci-Fi",2014-07-30,170000000.0,333718600,439631547,43.15%,56.85%,773350147,603350147.0,7.9
Forrest Gump,Paramount Pictures,"Drama, Romance",1994-07-06,55000000.0,330455270,347770863,48.72%,51.28%,678226133,623226133.0,8.2
Batman v Superman: Dawn of Justice,Warner Bros.,"Action, Adventure, Sci-Fi",2016-03-23,250000000.0,330360194,543277334,37.81%,62.19%,873637528,623637528.0,5.7
Suicide Squad,Warner Bros.,"Action, Adventure, Fantasy, Sci-Fi",2016-08-02,175000000.0,325100054,421746840,43.53%,56.47%,746846894,571846894.0,5.9
Shrek the Third,DreamWorks,"Adventure, Animation, Comedy, Family, Fantasy, Romance",2007-05-17,160000000.0,322719944,490647436,39.68%,60.32%,813367380,653367380.0,6.0
Transformers,DreamWorks,"Action, Adventure, Sci-Fi",2007-06-27,150000000.0,319246193,390463587,44.98%,55.02%,709709780,559709780.0,6.6
Iron Man,Paramount Pictures,"Action, Adventure, Sci-Fi",2008-04-30,140000000.0,319034126,266762121,54.46%,45.54%,585796247,445796247.0,7.4
Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,"Action, Adventure",2008-05-21,185000000.0,317101119,473552823,40.11%,59.89%,790653942,605653942.0,5.7
The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,"Action, Adventure, Drama, Fantasy",2001-12-18,93000000.0,315710750,581979322,35.17%,64.83%,897690072,804690072.0,8.0
Iron Man 2,Paramount Pictures,"Action, Adventure, Sci-Fi",2010-04-28,200000000.0,312433331,311500000,50.07%,49.93%,623933331,423933331.0,6.6
Star Wars: Episode II - Attack of the Clones,Twentieth Century Fox,"Action, Adventure, Fantasy, Sci-Fi",2002-05-15,120000000.0,310676740,343103230,47.52%,52.48%,653779970,533779970.0,6.4
Pirates of the Caribbean: At World's End,Walt Disney Studios Motion Pictures,"Action, Adventure, Fantasy",2007-05-19,300000000.0,309420425,651576067,32.20%,67.80%,960996492,660996492.0,6.9
Independence Day,Twentieth Century Fox,"Action, Adventure, Sci-Fi",1996-06-25,75000000.0,306169268,511231623,37.46%,62.54%,817400891,742400891.0,6.7
Pirates of the Caribbean: The Curse of the Black Pearl,Walt Disney Studios Motion Pictures,"Action, Adventure, Fantasy",2003-07-09,140000000.0,305413918,348850097,46.68%,53.32%,654264015,514264015.0,7.5
Skyfall,Sony Pictures Entertainment (SPE),"Action, Adventure, Thriller",2012-10-25,200000000.0,304360277,804209222,27.46%,72.54%,1108569499,908569499.0,6.9
The Hobbit: An Unexpected Journey,Warner Bros.,"Adventure, Fantasy",2012-11-26,250000000.0,303003568,714000000,29.79%,70.21%,1017003568,767003568.0,7.0
Harry Potter and the Half-Blood Prince,Warner Bros.,"Action, Adventure, Family, Fantasy, Mystery",2009-07-07,250000000.0,302305431,632148664,32.35%,67.65%,934454095,684454095.0,7.4
The Twilight Saga: Eclipse,Summit Entertainment,"Action, Adventure, Drama, Fantasy, Romance, Thriller",2010-06-23,68000000.0,300531751,397959596,43.03%,56.97%,698491347,630491347.0,5.8
The Twilight Saga: New Moon,Summit Entertainment,"Adventure, Drama, Fantasy, Romance",2009-03-15,50000000.0,297816253,413209228,41.89%,58.11%,711025481,661025481.0,5.6
The Sixth Sense,Walt Disney Studios Motion Pictures,"Drama, Mystery, Thriller",1999-08-06,40000000.0,293506292,379300140,43.62%,56.38%,672806432,632806432.0,7.7
Up,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Drama, Family",2009-05-13,175000000.0,293004164,442094938,39.86%,60.14%,735099102,560099102.0,7.7
Inception,Warner Bros.,"Action, Adventure, Sci-Fi, Thriller",2010-07-14,160000000.0,292576195,544260772,34.96%,65.04%,836836967,676836967.0,8.1
Harry Potter and the Order of the Phoenix,Warner Bros.,"Action, Adventure, Family, Fantasy, Mystery",2007-06-28,150000000.0,292353413,649818982,31.03%,68.97%,942172395,792172395.0,7.4
The Twilight Saga: Breaking Dawn - Part 2,Lionsgate,"Adventure, Drama, Fantasy, Romance",2012-11-13,120000000.0,292324737,537422917,35.23%,64.77%,829747654,709747654.0,6.1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walt Disney Studios Motion Pictures,"Adventure, Family, Fantasy",2005-12-07,180000000.0,291710957,453302158,39.16%,60.84%,745013115,565013115.0,6.7
Man of Steel,Warner Bros.,"Action, Adventure, Sci-Fi",2013-06-12,225000000.0,291045518,377000000,43.57%,56.43%,668045518,443045518.0,6.5
"Monsters, Inc.",Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",2001-11-01,115000000.0,290642256,289065482,50.14%,49.86%,579707738,464707738.0,7.5
Harry Potter and the Goblet of Fire,Warner Bros.,"Adventure, Family, Fantasy, Mystery",2005-11-05,150000000.0,290417905,606260335,32.39%,67.61%,896678240,746678240.0,7.5
Home Alone,Twentieth Century Fox,"Comedy, Family",1990-11-09,18000000.0,285761243,190923432,59.95%,40.05%,476684675,458684675.0,7.1
The Hunger Games: Mockingjay - Part 2,Lionsgate,"Action, Adventure, Sci-Fi, Thriller",2015-11-18,160000000.0,281723902,376620235,42.79%,57.21%,658344137,498344137.0,6.6
The Matrix Reloaded,Warner Bros.,"Action, Sci-Fi",2003-05-15,150000000.0,281576461,460271476,37.96%,62.04%,741847937,591847937.0,6.7
Meet the Fockers,Universal Pictures,"Comedy, Romance",2004-12-22,80000000.0,279261160,243396776,53.43%,46.57%,522657936,442657936.0,6.1
The Hangover,Warner Bros.,Comedy,2009-06-05,35000000.0,277322503,191988333,59.09%,40.91%,469310836,434310836.0,7.2
Gravity,Warner Bros.,"Action, Drama, Sci-Fi, Thriller",2013-09-27,105000000.0,274092705,449100000,37.90%,62.10%,723192705,618192705.0,7.3
Monsters University,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",2013-06-20,200000000.0,268492764,475066881,36.11%,63.89%,743559645,543559645.0,7.0
Shrek,DreamWorks Distribution,"Adventure, Animation, Comedy, Family, Fantasy, Romance",2001-05-16,60000000.0,267665011,220188309,54.87%,45.13%,487853320,427853320.0,7.3
Harry Potter and the Chamber of Secrets,Warner Bros.,"Adventure, Family, Fantasy, Mystery",2002-11-13,100000000.0,262450136,617152229,29.84%,70.16%,879602365,779602365.0,7.4
The Amazing Spider-Man,Sony Pictures Entertainment (SPE),"Action, Adventure, Sci-Fi",2012-06-27,215000000.0,262030663,495900000,34.57%,65.43%,757930663,542930663.0,6.5
The Incredibles,Walt Disney Studios Motion Pictures,"Action, Adventure, Animation, Family",2004-11-05,92000000.0,261441092,370165961,41.39%,58.61%,631607053,539607053.0,7.4
Jaws,Universal Pictures,"Adventure, Thriller",1975-06-18,7000000.0,260758300,210653000,55.31%,44.69%,471411300,464411300.0,7.5
How the Grinch Stole Christmas,Universal Pictures,"Comedy, Family, Fantasy",2000-11-17,123000000.0,260465005,85108027,75.37%,24.63%,345573032,222573032.0,6.2
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi, Thriller",2014-03-20,170000000.0,259766572,454654931,36.36%,63.64%,714421503,544421503.0,7.6
The Hobbit: The Desolation of Smaug,Warner Bros.,"Adventure, Fantasy",2013-12-11,250000000.0,258366855,700640658,26.94%,73.06%,959007513,709007513.0,7.6
The Lego Movie,Warner Bros.,"Action, Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi",2014-02-06,60000000.0,257760692,210300000,55.07%,44.93%,468060692,408060692.0,7.5
Star Trek,Paramount Pictures,"Action, Adventure, Sci-Fi",2009-05-06,150000000.0,257730019,127950427,66.82%,33.18%,385680446,235680446.0,7.4
I Am Legend,Warner Bros.,"Action, Drama, Sci-Fi, Thriller",2007-12-14,150000000.0,256393010,329017042,43.80%,56.20%,585410052,435410052.0,6.9
The Blind Side,Warner Bros.,"Biography, Drama, Sport",2009-11-20,29000000.0,255959475,53248834,82.78%,17.22%,309208309,280208309.0,7.2
The Hobbit: The Battle of the Five Armies,Warner Bros.,"Adventure, Fantasy",2014-12-10,250000000.0,255119788,707063077,26.51%,73.49%,962182865,712182865.0,7.1
The Hangover Part II,Warner Bros.,Comedy,2011-05-25,80000000.0,254464305,332300000,43.37%,56.63%,586764305,506764305.0,6.2
Despicable Me,Universal Pictures,"Adventure, Animation, Comedy, Crime, Family, Sci-Fi",2010-07-08,69000000.0,251513985,291600000,46.31%,53.69%,543113985,474113985.0,7.1
Batman,Warner Bros.,"Action, Adventure",1989-06-23,35000000.0,251348343,160160000,61.08%,38.92%,411508343,376508343.0,7.0
Batman,Warner Bros.,"Action, Adventure",1966-07-30,1377800.0,251348343,160160000,61.08%,38.92%,411508343,410130543.0,6.1
Night at the Museum,Twentieth Century Fox,"Adventure, Comedy, Family, Fantasy",2006-10-20,110000000.0,250863268,323617961,43.67%,56.33%,574481229,464481229.0,6.3
Men in Black,Sony Pictures Entertainment (SPE),"Action, Adventure, Comedy, Sci-Fi",1997-07-02,90000000.0,250690539,338700000,42.53%,57.47%,589390539,499390539.0,6.9
Harry Potter and the Prisoner of Azkaban,Warner Bros.,"Adventure, Family, Fantasy, Mystery",2004-05-31,130000000.0,249975996,547385621,31.35%,68.65%,797361617,667361617.0,7.7
Toy Story 2,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",1999-10-30,90000000.0,245852179,251523202,49.43%,50.57%,497375381,407375381.0,7.3
Transformers: Age of Extinction,Paramount Pictures,"Action, Adventure, Sci-Fi",2014-06-25,210000000.0,245439076,858614996,22.23%,77.77%,1104054072,894054072.0,5.8
Cars,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Sport",2006-06-08,120000000.0,244082982,217908885,52.83%,47.17%,461991867,341991867.0,6.6
Ghostbusters,Columbia Pictures,"Action, Comedy, Fantasy, Sci-Fi",2016-07-14,144000000.0,243578797,53000000,82.13%,17.87%,296578797,152578797.0,5.3
Bruce Almighty,Universal Pictures,"Comedy, Fantasy",2003-05-23,80000000.0,242829261,241763613,50.11%,49.89%,484592874,404592874.0,6.4
Twister,Warner Bros.,"Action, Adventure, Thriller",1996-05-10,92000000.0,241721524,252750000,48.88%,51.12%,494471524,402471524.0,6.1
My Big Fat Greek Wedding,IFC Films,"Comedy, Drama, Romance",2002-02-22,5000000.0,241438208,127305836,65.48%,34.52%,368744044,363744044.0,6.2
Maleficent,Walt Disney Studios Motion Pictures,"Adventure, Family, Fantasy, Romance",2014-05-28,180000000.0,241410378,517001401,31.83%,68.17%,758411779,578411779.0,7.0
Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,"Action, Adventure, Fantasy",2011-05-14,380000000.0,241071802,804642000,23.05%,76.95%,1045713802,665713802.0,6.4
Shrek Forever After,DreamWorks,"Adventure, Animation, Comedy, Family, Fantasy, Romance",2010-05-16,165000000.0,238736787,513864080,31.72%,68.28%,752600867,587600867.0,6.0
Brave,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",2012-06-21,185000000.0,237283207,301700000,44.02%,55.98%,538983207,353983207.0,6.7
X-Men: The Last Stand,Twentieth Century Fox,"Action, Adventure, Sci-Fi",2006-05-24,210000000.0,234362462,226072829,50.90%,49.10%,460435291,250435291.0,6.3
War of the Worlds,Paramount Pictures,"Action, Adventure, Sci-Fi",2005-06-28,132000000.0,234280354,369592765,38.80%,61.20%,603873119,471873119.0,6.2
X-Men: Days of Future Past,Twentieth Century Fox,"Action, Adventure, Sci-Fi, Thriller",2014-05-15,250000000.0,233921534,512124166,31.35%,68.65%,746045700,496045700.0,7.5
Cast Away,Twentieth Century Fox,"Adventure, Drama, Romance",2000-12-22,90000000.0,233632142,196000000,54.38%,45.62%,429632142,339632142.0,7.5
The Exorcist,Warner Bros.,Horror,1973-12-26,8000000.0,232906145,136017945,63.13%,36.87%,368924090,360924090.0,7.5
The Lost World: Jurassic Park,Universal Pictures,"Action, Adventure, Sci-Fi",1997-05-23,73000000.0,229086679,389552320,37.03%,62.97%,618638999,545638999.0,6.2
Star Trek Into Darkness,Paramount Pictures,"Action, Adventure, Sci-Fi",2013-05-05,190000000.0,228778661,238586585,48.95%,51.05%,467365246,277365246.0,7.4
The Martian,Twentieth Century Fox,"Adventure, Drama, Sci-Fi",2015-09-30,108000000.0,228433663,401728785,36.25%,63.75%,630162448,522162448.0,7.6
Signs,Walt Disney Studios Motion Pictures,"Drama, Mystery, Sci-Fi, Thriller",2002-08-02,72000000.0,227966634,180281283,55.84%,44.16%,408247917,336247917.0,6.4
Hancock,Sony Pictures Entertainment (SPE),"Action, Drama, Fantasy",2008-07-01,150000000.0,227946274,401497154,36.21%,63.79%,629443428,479443428.0,6.2
The Bourne Ultimatum,Universal Pictures,"Action, Mystery, Thriller",2007-08-03,70000000.0,227471070,216628965,51.22%,48.78%,444100035,374100035.0,7.3
Rush Hour 2,New Line Cinema,"Action, Comedy, Crime, Thriller",2001-08-03,90000000.0,226164286,121161516,65.12%,34.88%,347325802,257325802.0,6.4
WALL·E,Walt Disney Studios Motion Pictures,"Adventure, Animation, Family, Sci-Fi",2008-06-22,180000000.0,223808164,297503726,42.93%,57.07%,521311890,341311890.0,7.8
Big Hero 6,Walt Disney Studios Motion Pictures,"Action, Adventure, Animation, Comedy, Family, Sci-Fi",2014-10-24,165000000.0,222527828,435341858,33.83%,66.17%,657869686,492869686.0,7.8
Alvin and the Chipmunks: The Squeakquel,Twentieth Century Fox,"Adventure, Animation, Comedy, Drama, Family, Fantasy, Music, Musical",2009-12-21,75000000.0,219614612,223525393,49.56%,50.44%,443140005,368140005.0,5.4
Mrs. Doubtfire,Twentieth Century Fox,"Comedy, Drama, Family",1993-11-24,25000000.0,219195243,222090952,49.67%,50.33%,441286195,416286195.0,7.0
Ted,Universal Pictures,Comedy,2012-06-29,50000000.0,218815487,330552828,39.83%,60.17%,549368315,499368315.0,6.3
King Kong,Universal Pictures,"Action, Adventure, Drama, Romance",2005-12-14,207000000.0,218080025,338826353,39.16%,60.84%,556906378,349906378.0,6.6
Ghost,Paramount Pictures,"Drama, Fantasy, Romance, Thriller",1990-07-12,22000000.0,217631306,288072251,43.04%,56.96%,505703557,483703557.0,6.9
How to Train Your Dragon,DreamWorks,"Action, Adventure, Animation, Comedy, Family, Fantasy",2010-03-05,165000000.0,217581231,277298240,43.97%,56.03%,494879471,329879471.0,7.5
The Da Vinci Code,Sony Pictures Entertainment (SPE),"Mystery, Thriller",2006-05-17,125000000.0,217536138,542470807,28.62%,71.38%,760006945,635006945.0,6.5
Aladdin,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",1992-11-25,28000000.0,217350219,286700000,43.12%,56.88%,504050219,476050219.0,7.4
Alvin and the Chipmunks,Twentieth Century Fox,"Adventure, Animation, Comedy, Drama, Family, Fantasy, Music, Musical",2007-12-13,60000000.0,217326974,148025572,59.48%,40.52%,365352546,305352546.0,5.5
Saving Private Ryan,DreamWorks Distribution,"Drama, War",1998-07-24,70000000.0,217049603,265300000,45.00%,55.00%,482349603,412349603.0,7.9
Madagascar 3: Europe's Most Wanted,DreamWorks,"Adventure, Animation, Comedy, Family",2012-06-06,145000000.0,216391482,530529792,28.97%,71.03%,746921274,601921274.0,6.4
Kung Fu Panda,DreamWorks,"Action, Adventure, Animation, Comedy, Family, Fantasy",2008-06-04,130000000.0,215434591,416311606,34.10%,65.90%,631746197,501746197.0,6.9
Mission: Impossible II,Paramount Pictures,"Action, Adventure, Thriller",2000-05-24,125000000.0,215409889,330978219,39.42%,60.58%,546388108,421388108.0,5.9
Austin Powers in Goldmember,New Line Cinema,"Action, Adventure, Comedy, Crime",2002-07-26,63000000.0,213307889,83630912,71.84%,28.16%,296938801,233938801.0,5.9
Back to the Future,Universal Pictures,"Adventure, Comedy, Sci-Fi",1985-07-03,19000000.0,211406762,170500000,55.36%,44.64%,381906762,362906762.0,8.0
300,Warner Bros.,"Action, Drama",2006-12-09,65000000.0,210614939,245453242,46.18%,53.82%,456068181,391068181.0,7.0
Fast Five,Universal Pictures,"Action, Crime, Thriller",2011-04-20,125000000.0,209837675,416300000,33.51%,66.49%,626137675,501137675.0,7.1
Mission: Impossible - Ghost Protocol,Paramount Pictures,"Action, Adventure, Thriller",2011-12-07,145000000.0,209397903,485315477,30.14%,69.86%,694713380,549713380.0,6.8
Sherlock Holmes,Warner Bros.,"Action, Adventure, Mystery",2009-12-23,90000000.0,209028679,315000000,39.89%,60.11%,524028679,434028679.0,7.0
Dawn of the Planet of the Apes,Twentieth Century Fox,"Action, Adventure, Drama, Sci-Fi, Thriller",2014-06-26,170000000.0,208545589,502098977,29.35%,70.65%,710644566,540644566.0,7.3
Batman Begins,Warner Bros.,"Action, Crime, Drama",2005-06-10,150000000.0,206852432,166809514,55.36%,44.64%,373661946,223661946.0,7.5
Charlie and the Chocolate Factory,Warner Bros.,"Adventure, Comedy, Family, Fantasy, Musical",2005-07-13,150000000.0,206459076,268509687,43.47%,56.53%,474968763,324968763.0,6.7
Ratatouille,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",2007-06-22,150000000.0,206445654,417280431,33.10%,66.90%,623726085,473726085.0,7.5
Thor: The Dark World,Walt Disney Studios Motion Pictures,"Action, Adventure, Fantasy",2013-10-29,170000000.0,206362140,438421000,32.00%,68.00%,644783140,474783140.0,6.8
Austin Powers: The Spy Who Shagged Me,New Line Cinema,"Action, Adventure, Comedy, Crime",1999-06-08,33000000.0,206040086,105976842,66.03%,33.97%,312016928,279016928.0,6.2
Terminator 2: Judgment Day,TriStar Pictures,"Action, Sci-Fi",1991-07-01,100000000.0,205881154,312106698,39.75%,60.25%,517987852,417987852.0,7.7
The Amazing Spider-Man 2,Sony Pictures Entertainment (SPE),"Action, Adventure, Sci-Fi",2014-04-16,200000000.0,202853933,506128390,28.61%,71.39%,708982323,508982323.0,6.5
World War Z,Paramount Pictures,"Action, Adventure, Horror, Sci-Fi",2013-06-20,200000000.0,202807711,337648165,37.53%,62.47%,540455876,340455876.0,6.7
The Mummy Returns,Universal Pictures,"Action, Adventure, Fantasy, Thriller",2001-04-28,98000000.0,202019785,241261119,45.57%,54.43%,443280904,345280904.0,6.0
Armageddon,Walt Disney Studios Motion Pictures,"Action, Adventure, Sci-Fi, Thriller",1998-07-01,140000000.0,201578182,352131606,36.41%,63.59%,553709788,413709788.0,6.4
Cinderella,Walt Disney Studios Motion Pictures,"Adventure, Drama, Family, Fantasy, Romance",2015-03-12,95000000.0,201151353,341206978,37.09%,62.91%,542358331,447358331.0,6.7
Tangled,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",2010-11-24,260000000.0,200821936,391640880,33.90%,66.10%,592462816,332462816.0,7.4
Superman Returns,Warner Bros.,"Action, Adventure, Sci-Fi",2006-06-28,270000000.0,200081192,191000000,51.16%,48.84%,391081192,121081192.0,5.4
Spectre,Sony Pictures Entertainment (SPE),"Action, Adventure, Thriller",2015-10-26,245000000.0,200074609,680606910,22.72%,77.28%,880681519,635681519.0,6.3
Pearl Harbor,Walt Disney Studios Motion Pictures,"Action, Drama, History, Romance, War",2001-05-21,140000000.0,198542554,250678391,44.20%,55.80%,449220945,309220945.0,6.6
Happy Feet,Warner Bros.,"Adventure, Animation, Comedy, Family, Music, Musical, Romance",2006-11-16,100000000.0,198000317,186335791,51.52%,48.48%,384336108,284336108.0,5.9
Indiana Jones and the Last Crusade,Paramount Pictures,"Action, Adventure",1989-05-24,48000000.0,197171806,277000000,41.58%,58.42%,474171806,426171806.0,7.6
Ice Age: Dawn of the Dinosaurs,Twentieth Century Fox,"Adventure, Animation, Comedy, Family",2009-06-29,90000000.0,196573705,690113112,22.17%,77.83%,886686817,796686817.0,6.5
Ice Age: The Meltdown,Twentieth Century Fox,"Adventure, Animation, Comedy, Family",2006-03-23,80000000.0,195330621,471763885,29.28%,70.72%,667094506,587094506.0,6.5
Mission: Impossible - Rogue Nation,Paramount Pictures,"Action, Adventure, Thriller",2015-07-23,150000000.0,195042377,487674259,28.57%,71.43%,682716636,532716636.0,7.1
Twilight,Summit Entertainment,"Drama, Fantasy, Romance",2008-11-20,37000000.0,193962473,214467942,47.49%,52.51%,408430415,371430415.0,5.8
